,config,opt_name,reason,proved
0,cvc4_tplanes,AddSub:1040,poison,yes
1,cvc4_tplanes,AddSub:1040,undef,yes
2,cvc4_tplanes,AddSub:1040,values,no
3,cvc4_tplanes,AddSub:1043,poison,yes
4,cvc4_tplanes,AddSub:1043,undef,yes
5,cvc4_tplanes,AddSub:1043,values,no
6,cvc4_tplanes,AddSub:1164,poison,yes
7,cvc4_tplanes,AddSub:1164,undef,yes
8,cvc4_tplanes,AddSub:1164,values,yes
9,cvc4_tplanes,AddSub:1165,poison,yes
10,cvc4_tplanes,AddSub:1165,undef,yes
11,cvc4_tplanes,AddSub:1165,values,yes
12,cvc4_tplanes,AddSub:1176,poison,yes
13,cvc4_tplanes,AddSub:1176,undef,yes
14,cvc4_tplanes,AddSub:1176,values,yes
15,cvc4_tplanes,AddSub:1202,poison,yes
16,cvc4_tplanes,AddSub:1202,undef,yes
17,cvc4_tplanes,AddSub:1202,values,no
18,cvc4_tplanes,AddSub:1295,poison,yes
19,cvc4_tplanes,AddSub:1295,undef,yes
20,cvc4_tplanes,AddSub:1295,values,no
21,cvc4_tplanes,AddSub:1539-2,poison,yes
22,cvc4_tplanes,AddSub:1539-2,undef,yes
23,cvc4_tplanes,AddSub:1539-2,values,yes
24,cvc4_tplanes,AddSub:1560,poison,yes
25,cvc4_tplanes,AddSub:1560,undef,yes
26,cvc4_tplanes,AddSub:1560,values,no
27,cvc4_tplanes,AddSub:1564,poison,yes
28,cvc4_tplanes,AddSub:1564,undef,yes
29,cvc4_tplanes,AddSub:1564,values,no
30,cvc4_tplanes,AddSub:1574,poison,yes
31,cvc4_tplanes,AddSub:1574,undef,yes
32,cvc4_tplanes,AddSub:1574,values,yes
33,cvc4_tplanes,AddSub:1599,poison,yes
34,cvc4_tplanes,AddSub:1599,undef,yes
35,cvc4_tplanes,AddSub:1599,values,no
36,cvc4_tplanes,AddSub:1604,poison,yes
37,cvc4_tplanes,AddSub:1604,undef,yes
38,cvc4_tplanes,AddSub:1604,values,no
39,cvc4_tplanes,AddSub:1614,poison,yes
40,cvc4_tplanes,AddSub:1614,undef,yes
41,cvc4_tplanes,AddSub:1614,values,yes
42,cvc4_tplanes,AddSub:1619,poison,yes
43,cvc4_tplanes,AddSub:1619,undef,yes
44,cvc4_tplanes,AddSub:1619,values,yes
45,cvc4_tplanes,AddSub:1624,poison,yes
46,cvc4_tplanes,AddSub:1624,undef,yes
47,cvc4_tplanes,AddSub:1624,values,no
48,cvc4_tplanes,AndOrXor:1006,poison,yes
49,cvc4_tplanes,AndOrXor:1006,undef,yes
